station_id,route_id
101,1
103,1
104,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
120,2
120,3
121,1
121,2
122,1
122,2
123,1
123,2
123,3
124,1
124,2
125,1
125,2
126,1
126,2
127,1
127,2
127,3
128,1
128,2
128,3
129,1
129,2
130,1
130,2
131,1
131,2
132,1
132,2
132,3
133,1
133,2
134,1
134,2
135,1
135,2
136,1
136,2
137,1
137,2
137,3
138,1
139,1
142,1
201,2
204,2
204,5
205,2
205,5
206,2
206,5
207,2
207,5
208,2
208,5
209,2
209,5
210,2
210,5
211,2
211,5
212,2
212,5
213,2
213,5
214,2
214,5
215,2
215,5
216,2
216,5
217,2
217,5
218,2
218,5
219,2
219,5
220,2
220,5
221,2
221,5
222,2
222,5
224,2
224,3
225,2
225,3
226,2
226,3
227,2
227,3
228,2
228,3
229,2
229,3
230,2
230,3
231,2
231,3
232,2
232,3
233,2
233,3
234,2
234,3
234,4
234,5
235,2
235,3
235,4
235,5
236,2
236,3
236,4
237,2
237,3
237,4
238,2
238,3
238,4
239,2
239,3
239,4
239,5
241,2
241,5
242,2
242,5
243,2
243,5
244,2
244,5
245,2
245,5
246,2
246,5
247,2
247,5
248,2
248,3
248,4
248,5
249,2
249,3
249,4
249,5
250,2
250,3
250,4
250,5
251,2
251,3
251,4
251,5
252,2
252,3
252,4
252,5
253,2
253,3
253,4
253,5
254,2
254,3
254,4
254,5
255,2
255,3
255,4
255,5
256,2
256,3
256,4
256,5
257,2
257,3
257,4
257,5
301,3
302,3
401,4
402,4
405,4
406,4
407,4
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
416,5
418,4
418,5
419,4
419,5
420,4
420,5
423,4
423,5
501,5
502,5
503,5
504,5
505,5
601,6
601,6X
602,6
602,6X
603,6
603,6X
604,6
604,6X
606,6
606,6X
607,6
607,6X
608,6
608,6X
609,6
610,6
611,6
612,6
613,6
613,6X
614,6
615,6
616,6
617,6
618,6
619,6
619,6X
621,4
621,5
621,6
621,6X
622,4
622,6
622,6X
623,4
623,6
623,6X
624,4
624,6
624,6X
625,4
625,6
625,6X
626,4
626,5
626,6
626,6X
627,4
